SNo,Project Name,Scheme Name,PI Details
235,Development of a scalable volatile organic compound (VOC) sensing based intelligent cyber physical system for near real-time vehicular pollution monitoring and recommendation for reduced emissions,"I-DAPT, IIT(BHU)",Dr. N. S. Rajput
236,Development of Optical Fibre Cable Coloring Machine,DST,Dr. Debashish Khan
237,"Art, science and technology of traditional ""Koftgari"" metal work in India","INSA, New Delhi",Dr. K.K. Singh
238,Bioengineering of living materials to fabricate functionalized bacterial nanocellulose for high performance applications,DBT,Dr. Prodyut Dhar
239,Analytical study of sansad adarsh gram yojana of Jayapur and Nagapur in Varanasi District,Mahatma Gandhi National Council of Rural Education,Dr. Manhar Charan
240,Study on effect of temperature and mean stress on fatigue strength of turbine aerofoil alloy,"CARS, DRDO",Dr. G.S. Mahobia
241,Development of perovskite oxides SrCeO3 and SrCeO4 as high temperature thermal barrier coating (TBC) material for aerospace application,DRDO,Dr. Shail Upadhyay
242,Development of Friction Stir Welding for repair work of high temperature materials like EN-24 steel,"NCL, Singrauli",Dr. Mohd Zaheer Khan Yusufzai & Dr. Meghanshu Vahista
243,Development of advanced nanocrystalline coatings and LASER cladding system for repair work related to HEMMS and other structural components,"NCL, Singrauli",Dr. Meghanshu Vahista
244,"Design, Function, and Utilization of Multifunctional Surface Coatings for Next-Generation Lithiumion Batteries",SERB,Dr. Rosy
245,Crystal Engineering of Dapagliflozin to improve its pharmaceutical properties,SERB,Dr. Dinesh Kumar
246,Discovery of novel selective inhibitors of choline acetyltransferase : Lead optimization and in vivo pharmacolinectic studies,SERB,Dr. Rajnish
247,Production of high-purity methane from renewable biomass through anaerobic digestion,TransBharat Biofuel Pvt. Ltd.,Dr. J.P. Chakraborty
248,Preparation of Dense Palladium/ Palladium-alloy Membranes and Optimization of Multi-pass Membrane Seprator to Generate Ultra-Pure Hydrogen for On-site Applications,SERB,Dr. R.K. Upadhyay
249,Bioactivation of cyclopentadienyl rings in organometallic complexes,"The Royal Society, London",Dr. Samya banerjee
250,Localized Electricity generation through Modular Low Temperature ORC Units,CPRI Bangalore,Prof. S. K. Shukla
251,An Artificial Intelligence supported Instrusion Detection & Behavior Monitoring System for Crucial Data Servers against Novel Cyber Attacks,SERB,Dr. Mayank Swarnkar
252,Cyber security of critical infrastructure: National Level Medical Grid System,"DST-TIH, IIT-Kanpur  (Ihub Ntihac Foundation)",Prof. Prasun K. Roy
253,Novel integrated engineering approach for effective carbon dioxide removal using biphasic amine blends for coal-based thermal power plant,SERB,Prof. Monoj Kumar Mondal
254,Implementation of Terahertz Band Communication for Next generation wireless Netwroks,SERB,Dr. Sanjeev Sharma
255,Development of Mesoscale models to describe hot deformation and creep of low SFE materials,DST,Dr. Surya Deo Yadav
256,"New ""metabolite-amyloids"" hypothesis for the origin of life",SERB,Dr. Pandeeswar Makam
257,Design and development of Cybersecured Smart Power interface for Energy-Local Area Network (ELAN),"IHUB-NTIHAC Foundation, IIT Kanpur",Dr. Santosh kumar singh
258,Development of a multiplex portable spinning disc for effective monitoring of women’s health during different stages of pregnancy,DST,Dr. Arnab Sarkar
259,"Design and development of Molecular hybrids on a multifunctional framework for regulating Cholinesterases, ß- secretase 1, Amyloid- ß, and Oxidative Stress Against Alzheimer’s Disease",ICMR,Prof. Sushant Kumar Shrivastava
260,Investigation on Hydrogels and Development of Multi-Responsive Polymers for Healthcare Applications,SERB,Dr. Debdip Bhandary
261,Complex of online and onsite lectures on materials for hydrogen generation by solar water splitting,"Norway Council of Education and Research, Norway",Dr. Santanu Das
262,Chemical recycling of electronic waste for sustainable livelihoods and material consumption in India,GCRF-EPSRC,Dr. K.K. Singh
263,Effect of composition and microstructure on mechanical properties of 7-9%NI steel for LNG tanker and Naval application,SERB,Dr. Sudipta Patra
264,Microstructurea tailoring to develop biocompatible Cr-Fe-Mo-Nb-Ti based high entropy alloys for medical applications,SERB,Dr. Subhasis Sinha
265,Development of Cardiac Model for Prediction of Human Heart Failure using Noninvasive medical imaging and Computational Fluid Dyanamic techniques,ICMR,Dr. Sanjay Kumar Rai
266,Development of Sparse Inverse Co-variance based fuctional brain connectivity scheme fo rhte assessment of shared autistic tarits in autism and typical development,SERB,Dr. Jac Fredo AR
267,Self-assembled smart nano medicine for targeted therapy of advanced non-small cell lung cancer,ICMR,Dr. M.S. Muthu
268,Design and development of potential multufunctional molecular hybrid fo rthe treatment of Alzheimer's disease,SERB,Prof. S.K. Shrivastava
269,Investigation and development of mobile sink based intelligent data routing scheme for IoT-enable wireless sensor networks,SERB,Dr. Prasenjit Chanak
270,Design and development of cognitive small-world LPWAN for Internet of things towards health monitoring,SERB,Dr. Om Jee Pandey
271,3D Computatioanl and experimental study on layer dynamics and prediction of critical power law scales in double-diffusive finger convection,SERB,Dr. Om Prakash Singh
272,Reactivity controlled compression ingition (RCCI) combustion engine for methanol itilization and its feasibility analysis to be adopted in hybrid electric vehicles (HEVs),SERB,Dr. A.P. Singh
273,Human IL-2 fused leishmanial trypanothione synthesis (TS) as protein vaccine candidates,ICMR,Prof. V.K. Dubey
274,Development of Hand Telerehabilitation Platform for Diagnostic and Therapeutic Purposes in Physiotherapy,SERB,Dr. Kishor Sarawadekar
275,Metasurface-based Sensor devices for mm-wave and sub-terahertz Applications,SERB,Dr. Somak Bhattacharyya
276,Safety & Efficacy of the “PL05” capsule/tablet in Animal in the treatment of gastric acidity,Purobien Life Sciences Private Ltd.,Dr. Sunil Kumar Mishra
277,Utilization of Industrial Wastes in Dense and Gap Graded Asphalt Mixes as Fillers,DST,Dr. Ankit Gupta
278,Exploring Anti-inefective potential of Panchagavya : Metabolomics and Proteomics Approaches,DST,Dr. Shreyans Kumar Jain
279,Fabrication of low power consuming inverted near-infra red AMOLED,DST,Dr. Bhola Nath Pal
280,Development of toolkit for prediction of blood brain-barrier permeability using deep learning to expedite CNS drug discovery,SERB- Matrics,Dr. Rajnish
281,Design and Validation of field deployable miniaturized Nano-Bio-Sensing System for Detection of the Parasitic liver fluke fasciola gigantica,ICMR,Dr. Pranjal Chandra
282,Technology intervention for creative economy,Mindshare,Dr. Lakshay
283,Study and analysis of interfacial cracks in composite media,DAE,Prof. Subir Das
284,Development of a real-time cyber-attack detecion module and its hardware-in-loop testing for an integrated power network,CPRI,Dr. S.R. Mohanty
285,Development of energy efficient and compact electric drive train for fuel cell electric vehicle,SERB,Dr. Kalpana Chaudhary
286,"Pseudo-differential operators in partial differential equations, distribution and machine learning?",SERB,Dr. Santosh Kumar Updadhyay
287,Analytical stufy of hydrodynamic theory of wet active fluid,SERB,Dr. Shradha Mishra
288,Hybrid EEG-EMG based Prostheti hand for transradial amputees to perform reach and grasp tasks,DST,Dr. Shiru Sharma
289,"Design and Development of High Gain, Wide Bandwidth Beam Steered Reconfigurable Reflectarrray Antennas for 5Gmm Wave Applications",SERB,Dr. Manoj Kumar Meshram
290,Experimental study of anisotropy in nuclear charge and current distribution that results in interplay of electric and magnetic rotation in Xe nuclei,SERB,Dr. Somnath Nag
291,Design and Development of Composition engineered toxic free organic inorganic Perovskite Quantum Dots Based Flexible Spectrum Tunable Photodetectors,SERB,Prof. Satyabrata Jit
292,"Towards alkaline aqueous battery and fuel cell application: Synthesis, kinetics and Operando spectroelectrochemical studies of mixed metal selenide and polypyrrole composites as potential oxygen electrocatalysts",SERB,Dr. Manisha Malviya
293,Reliability evaluation and performance enhancement of grid integrated wind-solar-EV hybrid renewable energy systems,SERB,Prof. R.K. Saket
294,Optimal transport derivations in regularized wasserstein space for non-linear & linear transformations of deep neural networks,SERB,Dr. Tanima Dutta
295,Active polar flock in quasi tow-dimensional geometry: role of confinement and boundary condition,SERB,Dr. Shradha Mishra
296,Study of quantum chaos and multipartite entanglement using quantum circuits,SERB,Dr. Sunil Kumar Mishra
297,Multifunctional Nanostructured Mn/Fe doped CeCro3 for Photocatalyst and Magnetic Switching,SERB,Dr. Chandana Rath
298,"Tailoring properties by altering long and short-range structures in eco-friendly, Pb-free ferroelectric perovskite oxides for energy harvesting",SERB,Dr. Saurabh Tripathi
299,Li-ion based inverter for household appliances,Ornate Agencies Pvt. Ltd.,Dr. R.K Singh
300,Development of Laboratory Scale Bio-Grout Technology for Landslide Mitigation,SERB,Dr. A.K. Verma
301,Language Communicator Tool for End Users,MeitY,Dr. Sukhada
302,Development of prototype of early warning systems on impending goaf for underground coal mining.,SERB,Dr. Ashok Jaiswal
303,Investigation of Anomalous Nernst Effect in Shape Memory Heusler Alloys,SERB,Dr. Sanjay Singh
304,Development of industrial waste as mold material for sustainable development of developing countries,SERB,Dr. Jayant Kumar Singh
305,Wavelets Adaptive Schemes for Singular Integral Equations,SERB,Dr. Vineet Kumar Singh
306,On Developing Polynomial-time Interior-Point Methods for Robust Multiobjective Convex Optimization Problems,SERB,Dr. Debadas Ghosh
307,Demonstration and reproduction with scientific validation of some Ceramic Materials Knowledge System of Ancient India,"IKS, AICTE",Prof. Rajiv Prakash
308,High proton conducting metal phosphonate electrolytes for fuel cell application,DRDO,Prof.Prabhakar Singh
309,Design and development of next generation cost effective recofigurable on-board battery charger with health and fault monitoring,MeitY,Dr. R.K. Singh
310,Electrolytic capacitor less six pulse DC ling photovoltaic system connected to grid,CPRI,Dr. V.N. Lal
311,IKS at IIT(BHU) Varanasi,"IKS Cell, AICTE @ GoI",Dr. V. Ramanathan
312,Development of Cryptographically efficient lightweight MDS matrices and its extension to code-based PQC,DRDO,Dr. Ashok Ji Gupta
313,Mineral Acids in India prior to 15th CE: A Revisit Exploring Arthasastra and other 15th CE Rasa Sastra texts,"IKS Cell, AICTE @ GoI",Dr. V. Ramanathan
314,Development of an efficient module-integrated battery management system,MeitY,Dr. Sandip Ghosh
315,Neeti Shastras and Modernity : Understanding the reflective equilibrium between Hermeneutics of Normative Texts and Practice,"IKS, AICTE",Dr. Sukhada
316,Traditional Principles of settlement planning in heritage temple sites of Odisha/ erstwhile kalinga region,"IKS, AICTE",Dr. Rabi Narayan Mohanty
317,Development of advanced Medical Textiles,Farmanex International Pvt. Ltd.,Prof. Rajiv Prakash now Dr. Chandan Upadhyay w.e.f. 21.09.22
318,Correlation studies of copper artifacts (2500-200 BCE) from Varanasi region and copper mining and smelting in tribal areas of Singhbhum,"AICTE, IKS",Dr. Chandan Upadhyay
319,TIFAC-MSME Program,TIFAC,Dr. Bhawana Verma
320,On the augmentation of heat transfer from external downward facing Convex surface of Calendria v,BRNS,Prof. Pradyumna Ghosh
