SNo,Project Name,Scheme Name,PI Details
222,Improved Lightweight Design of Variable Stiffness Composite Aircraft Panels Enabled by Tow-Steering and Machine Learning,CRG,Prof. Tanish Dey
223,YESI Knowledge Exchange Fellows scheme: 2023-2024,,Prof. Saifi Izhar
224,Engineer Ultrafast Switching in FePt-based Ferrimagnetic Alloys,SRG,Prof. Ritwik Mondal
225,"Industrial scale up of biodegradable, non-polymer super-hydrophobic jute fabric exhibiting excellent water repellency & stiffness for shopping/handbag products",……,Prof. Aditya Kumar
226,Development of “Chloroform COware Chemistry” as Toolbox for Safe Carbonylative Transformations,CRG,Prof. Parthasarathi Das
227,"Foraminiferal, geochemical and sedimentological investigations on Holocene sediments of the Bay of Bengal: Unveiling climatic variations, oxygen-deficient environments and seepage effects",CRG,Prof. Ajoy Kumar Bhaumik
228,The Game of Cops and Robbers and its Variations: Theory and Bounds,CRG,Prof. Dinabandhu Pradhan
229,"Geochemical and mineralogical approach for the classification of pegmatites and related rocks in Koderma, Jharkhand and Mandya, Karnataka to evaluate the economic potentiality for Li-Cs-Rb, Nb-Ta and REE",CRG,Prof. Anand Rajagopal
230,Synthesis of Bio-Based Zwitterionic surfactant for use in Enhanced Oil recovery (EOR) at High Reservoir Temperature Conditions,CRG,Prof. Tarun Kumar Naiya
231,Live cell imaging of RNA aggregation in nucleotide repeats expansion disorders,SRG,Prof. Sourav Kumar Dey
232,Long-Term Stress Field Perturbation and Stress Modeling Along the Myanmar-Andaman-Sumatra Subduction Margin,CRG,Prof. Prosanta Kumar Khan
233,Growth of ß-Ga2O3/SnO2 Heterostructure Integration for UV Photodetector,CRG,Prof. R. Thangavel
234,Development of a wind turbine condition monitoring system using signal processing and machine learning techniques,CRG,Prof. Sachin Kumar Singh
235,Performance Enhancement of Cr-Mn based Austenitic Stainless Steel to be a Potential Low-cost Alternative to 300-Series,CRG,Prof. Madhumanti Bhattacharyya
236,Photo-thermal optimization of upconversion nanoparticles as contrast enhancer for Optical Coherence Tomography (OCT),CRG,Prof. Kaushal Kumar
237,"Geochemical and paleomagnetic study of dolerite dykes in Meghalaya Plateau, Northeast India: Implications on mantle processes and geodynamic evolution",PDF,Prof. Anand Rajagopal
238,"Studies on Ecosystem Services at GP-II Coal Block, Tamnar, Chhattisgarh",……,Prof. Vipin Kumar
239,Inspection of GPIs for Compliance Verification,……,Prof. Anshumali
240,Market Potential & Purchase intention of Ceramic Titles: a study among Indian consumers,……,Prof. Krishnendu Shaw
241,Factors and Challenges Affecting the Tribal Heritage Entrepreneurship Opportunity in the Tribal Areas of the State of Jharkhand,RPD,Prof. Himanshu Gupta
242,AI-driven synthesis of green flocculant and its application towards the treatment of mine process effluent,……,Prof. Sagar Pal
243,Developments Tailor-made Surfactants for application in enhanced oil recovery,……,Prof. Ajay Mandal
244,Study on Human-Machine Interaction with respect to gender inclusivity for Adani Natural Resources,……,Prof. L.A. Kumaraswamidhas
245,Reservoir Characterization of Raniganj CBM Field Through Pressure Transient Analysis (PTA),……,Prof. Rajeev Upadhyay
246,Information Security Education and Awareness (ISEA) Project Phase-III,……,Prof. Sachin Tripathi
247,Aspects of Black Hole Thermodynamics in Quantum theories of Gravity,EMR,Prof. Binata Panda
248,A Novel Modeling Approach for Selecting Suitable Intrinsic Bioremediation Strategies for Attenuating Oil Spills in Coastal Aquifers,CRG,Prof. Renu V
249,"Application of hybrid techniques for generation of Decision Support System for quantifying the population vulnerability due to geogenic contaminants and development of cost-effective remediation methods, in the mining-affected and surface-groundwater interaction zones in the Damodar basin",CRG,Prof. Srinivas Pasupuleti
250,"Analysis, modelling and mitigation methods for landslides along Bhalukpong-Tawang road in Arunachal Pradesh, India",CRG,Prof. Kripamoy Sarkar
251,Landslide hazard assessment and mitigation - an integration of simulation techniques and machine learning algorithms in the Himachal Himalayas,STARS,Prof. Kripamoy Sarkar
252,Design and Assessment of Complex Network Models and their Applications to halt Brain Disorder,CRG,Prof. Ranjit Kumar Upadhyay
253,Development of novel high-performance polymeric admixture for concrete and thereof’,……,Prof. Sagar Pal
254,FIST Engineering Sciences - Project,FIST,Prof. Sukanta Das
255,MOF-Driven Mixed Transition Metal Phosphide Impregnated Flexible Carbon Fiber for Solar-Driven Green Hydrogen Production and Renewable Energy Storage Device,INSPIRE Faculty,Dr. Sk Riyajuddin
256,Wide Band Gap Device Based Next-Generation Intelligent Electric Traction Drive System for Electric Vehicle Application,EEQ,Prof. Sukanta Halder
257,Development of Strategic Interventions through Innovative Techniques to Promote STEM Education among underprivileged students with special emphasis on PAP (Project Affected Person) students in Dhanbad,CSR,Prof. Rashmi Singh
258,Making subgrade layer in flexible pavements water resistant using organosilane based chemical technology,……,Prof. Avinash Kumar Singh
259,Performance assessment of bridge for design and operation rationalisation,……,Prof. Smruti Sourava Mohapatra
260,Lee distance distributions of linear codes over finite chain rings and construction of good codes over finite fields,CRG,Prof. Pramod Kumar Kewat
261,Development of Energy Efficient Ergonomically Designed (EEED) Chair Lift Man Riding System,R&D,Prof. Ajit Kumar
262,Capacity Building of Faculty and Institutions towards Design & Entrepreneurship Development,……,Prof. Shikha Singh
263,Design and development of High Entropy shape memory alloys for actuators application in the defence sector,ARDB,Prof. Rahul M R
264,Exploring the drivers for purchasing recycled apparel: a study among Indian consumers’,……,Prof. Krishnendu Shaw
265,Design rationalisation of bridges for structural performance and traffic operation,……,Prof. Smruti Sourava Mohapatra
266,Predictive Analytics: Potential use of Generative AI to optimize the Geothermal energy extraction process,……,Prof. Shikha Singh
267,"Design, Development and Standalone Implementation of Discrete Power Electronics Systems using Physics Informed Neural Networks",PDF,Prof. Sukumar Mishra
268,Nurturing Future Leadership Programme (NFLP) under the aegis of Malaviya Mission Teacher Training Programme (MMTTP),MMTTP,Prof. Mohd. Irfan
269,Technology Intervention in Lac Farming for Empowering the Marginal Women Farmers in the State of Jharkhand,A2K+ Scheme,Prof. Shashank Bansal
270,Bandwidth Adaptive RF Power Amplifier Modeling for Cross Bandwidth Testing,……,Prof. Rahul Bhattacharya
271,"Interface of Science, Society and Politics in the waste management of Darjeeling Himalayas",PRJ,"Prof. Sanjay Tamang,"
272,From Uncertainty to Action: Recalibrating Digital Humanities Methods and Tools for Non-standard British Colonial South India Data,PRJ,"Prof. Sanjay Tamang,"
273,Investigation on The Application of Abrasive Water Jet Machining for Milling Operations Like Pocketing and Slotting on Advanced Aerospace Materials,DRDL,Prof. Amit Rai Dixit
274,Calibration of vertical oil storage tanks in India,PGD,"Prof. Mohammed Hamid Siddique,"
275,CIL Innovation and Incubation Centre,CoE,Prof. Rabindra Kumar Sinha
276,"Tata Steel Innovation Centre on Mining and Mineral Research, (Tata Steel - ICMMR)",CoE,Prof. Sagar Pal
277,"Naresh Vashisht Centre for Hydrogen and Carbon Capture, Utilization and Storage Technologies",CoE,Prof. Sandipan Kumar Das
278,Capacity Building Training Programmes on Basic Level and Advanced Level Information Technology and Computer Training for Tribals in Jharkhand,CoE,Prof. Rashmi Singh
279,"Setting up Mining, Employability and Livelihoods (MEL) Centre of Excellence",CoE,Prof. Anshumali
280,IMiN - Centre of Excellence for Mining 4.0 at TEXMiN at IIT(ISM) Dhanbad campu,CoE,Prof. Dheeraj Kumar
281,"Visvesvarara Ph. D Scheme for Electronics and IT at IIT-ISM, Dhanbad",Visvesvaraya PhD,Prof. Ravi Kumar Gangwar
282,"Visvesvaraya PhD Scheme for Electronics and IT: Phase II at Indian Institute of Technology-ISM, Dhanbad",Visvesvaraya PhD,Prof. Ravi Kumar Gangwar
283,"Visvesvaraya PhD Scheme for Electronics and IT: Phase II at Indian Institute of Technology-ISM, Dhanbad",Visvesvaraya PhD,Prof. Ravi Kumar Gangwar
284,"Visvesvaraya PhD Scheme for Electronics and IT: Phase II at Indian Institute of Technology-ISM, Dhanbad",Visvesvaraya PhD,Prof. Ravi Kumar Gangwar
